"FIPS","Year","STATE","COUNTY","PM2_5GE_Threshold","PM2_5GT35LE50","PM2_5GT50"
"06043",2019,"California","Mariposa",8,3,5
"06045",2019,"California","Mendocino",0,0,0
"06047",2019,"California","Merced",1,1,0
"06051",2019,"California","Mono",0,0,0
"06053",2019,"California","Monterey",0,0,0
"06055",2019,"California","Napa",0,0,0
"06057",2019,"California","Nevada",0,0,0
"06059",2019,"California","Orange",1,1,0
"06061",2019,"California","Placer",0,0,0
"06063",2019,"California","Plumas",2,2,0
"06065",2019,"California","Riverside",0,0,0
"06067",2019,"California","Sacramento",0,0,0
"06069",2019,"California","San Benito",0,0,0
"06071",2019,"California","San Bernardino",1,1,0
"06073",2019,"California","San Diego",0,0,0
"06075",2019,"California","San Francisco",0,0,0
"06077",2019,"California","San Joaquin",2,2,0
"06079",2019,"California","San Luis Obispo",0,0,0
"06081",2019,"California","San Mateo",0,0,0
"06083",2019,"California","Santa Barbara",0,0,0
"06085",2019,"California","Santa Clara",0,0,0
"06087",2019,"California","Santa Cruz",0,0,0
"06089",2019,"California","Shasta",0,0,0
"06093",2019,"California","Siskiyou",3,1,2
"06095",2019,"California","Solano",0,0,0
"06097",2019,"California","Sonoma",0,0,0
"06099",2019,"California","Stanislaus",4,4,0
"06101",2019,"California","Sutter",2,2,0
"06103",2019,"California","Tehama",0,0,0
"06105",2019,"California","Trinity",1,1,0
"06107",2019,"California","Tulare",5,5,0
"06111",2019,"California","Ventura",0,0,0
"06113",2019,"California","Yolo",1,1,0
"06001",2018,"California","Alameda",14,2,12
"06007",2018,"California","Butte",24,10,14
"06009",2018,"California","Calaveras",16,11,5
